sku,period,model,actual,pred,abs_err,signed_err
CPG-030-T007A,2025-10,B1_LastMonth,0.0,12000.0,12000.0,12000.0
CPG-030-T007A,2025-10,B2_MA3,0.0,10000.0,10000.0,10000.0
CPG-030-T007A,2025-10,B4_MA6,0.0,9000.0,9000.0,9000.0
CPG-030-T007A,2025-10,B3_SeasonalNaive,0.0,7555.555555555556,7555.555555555556,7555.555555555556
CPG-030-T007A,2025-10,M1_AutoETS,0.0,7537.39155501819,7537.39155501819,7537.39155501819
CPG-030-T007A,2025-10,M2_Croston,0.0,10176.340036330272,10176.340036330272,10176.340036330272
CPG-030-T007A,2025-10,M3_LightGBM,0.0,10000.0,10000.0,10000.0
CPG-030-T007A,2025-11,B1_LastMonth,6000.0,0.0,6000.0,-6000.0
CPG-030-T007A,2025-11,B2_MA3,6000.0,10000.0,4000.0,4000.0
CPG-030-T007A,2025-11,B4_MA6,6000.0,8333.333333333334,2333.333333333334,2333.333333333334
CPG-030-T007A,2025-11,B3_SeasonalNaive,6000.0,6800.0,800.0,800.0
CPG-030-T007A,2025-11,M1_AutoETS,6000.0,6794.996323889724,794.9963238897244,794.9963238897244
CPG-030-T007A,2025-11,M2_Croston,6000.0,10176.340036330272,4176.340036330272,4176.340036330272
CPG-030-T007A,2025-11,M3_LightGBM,6000.0,7500.0,1500.0,1500.0
CPG-030-T007A,2025-12,B1_LastMonth,12040.0,6000.0,6040.0,-6040.0
CPG-030-T007A,2025-12,B2_MA3,12040.0,6000.0,6040.0,-6040.0
CPG-030-T007A,2025-12,B4_MA6,12040.0,8000.0,4040.0,-4040.0
CPG-030-T007A,2025-12,B3_SeasonalNaive,12040.0,6727.272727272727,5312.727272727273,-5312.727272727273
CPG-030-T007A,2025-12,M1_AutoETS,12040.0,6720.009495168271,5319.990504831729,-5319.990504831729
CPG-030-T007A,2025-12,M2_Croston,12040.0,6609.974988568925,5430.025011431075,-5430.025011431075
CPG-030-T007A,2025-12,M3_LightGBM,12040.0,2304.8877034505235,9735.112296549476,-9735.112296549476
CPG-030-T007A,2026-01,B1_LastMonth,12000.0,12040.0,40.0,40.0
CPG-030-T007A,2026-01,B2_MA3,12000.0,6013.333333333333,5986.666666666667,-5986.666666666667
CPG-030-T007A,2026-01,B4_MA6,12000.0,8006.666666666667,3993.333333333333,-3993.333333333333
CPG-030-T007A,2026-01,B3_SeasonalNaive,12000.0,6000.0,6000.0,-6000.0
CPG-030-T007A,2026-01,M1_AutoETS,12000.0,7163.934857424631,4836.065142575369,-4836.065142575369
CPG-030-T007A,2026-01,M2_Croston,12000.0,8333.37720724219,3666.622792757809,-3666.622792757809
CPG-030-T007A,2026-01,M3_LightGBM,12000.0,5945.081529947917,6054.918470052083,-6054.918470052083
CPG-030-T007A,2026-02,B1_LastMonth,12000.0,12000.0,0.0,0.0
CPG-030-T007A,2026-02,B2_MA3,12000.0,10013.333333333334,1986.666666666666,-1986.666666666666
CPG-030-T007A,2026-02,B4_MA6,12000.0,10006.666666666666,1993.333333333334,-1993.333333333334
CPG-030-T007A,2026-02,B3_SeasonalNaive,12000.0,4000.0,8000.0,-8000.0
CPG-030-T007A,2026-02,M1_AutoETS,12000.0,7530.566893478126,4469.433106521874,-4469.433106521874
CPG-030-T007A,2026-02,M2_Croston,12000.0,9272.924255266644,2727.0757447333563,-2727.0757447333563
CPG-030-T007A,2026-02,M3_LightGBM,12000.0,0.0,12000.0,-12000.0
CPG-030-T007A,2026-03,B1_LastMonth,0.0,12000.0,12000.0,12000.0
CPG-030-T007A,2026-03,B2_MA3,0.0,12013.333333333334,12013.333333333334,12013.333333333334
CPG-030-T007A,2026-03,B4_MA6,0.0,9006.666666666666,9006.666666666666,9006.666666666666
CPG-030-T007A,2026-03,B3_SeasonalNaive,0.0,4000.0,4000.0,4000.0
